,Name,Address,Telephone,Price,Type,Subtype,Website,longitude,latitude
18,The Ryan Center,"279 East 3rd Street (btw Aves C & D),",2124778500,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.98013139999999,40.7215506
19,The Ryan Center,645 10th Ave (btw 45th and 46th Sts),2122654500,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.994137,40.7620382
20,New York City Free Clinic,"230 West 17th Street, New York, NY 10003",9175440735,Free,Medical,Free Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9998294,40.7409451
21,Weill Cornell Community Clinic,"505 East 70th Street, 1st Floor, New York, NY 10021",6469629222,Free,Medical,Free Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.95410910000001,40.7656944
22,Mount Sinai Adolescent Health Care Clinic,"312 East 94th Street, New York, NY 10128",2124233000,Free,Medical,Free Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9472333,40.7823067
23,East Harlem Health Outreach Program - Mount Sinai,"17 East 102nd Street, 7th Floor, New York, NY 10029",6269426519,Free,Medical,Free Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9520122,40.791484
24,Columbia Student Medical Outreach,"21 Audubon Avenue, New York, NY 10033",2123424719,Free,Medical,Free Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.938839,40.839408
25,Columbia-Harlem Homeless Medical Partnership,"St. Mary's Episcopal Church, 521 West 126th Street, New York, NY 10027",3476142121,Free,Medical,Free Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.95603419999999,40.8149314
26,Planned Parenthood Margaret Sanger Center,"26 Bleecker Street, New York, NY 10012",2129657000,Low,Medical,Women and Reproductive,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9936086,40.7253719
27,Planned Parenthood The Bronx Center,"349 East 149th Street, 2nd Floor, Bronx, NY 10451",2129657000,Low,Medical,Women and Reproductive,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9196783,40.8168619
28,Planned Parenthood Boro Hall Center,"44 Court Street, 6th Floor, Brooklyn, NY 11201",2129657000,Low,Medical,Women and Reproductive,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.99131299999999,40.6927556
29,Planned Parenthood Staten Island Center,"23 Hyatt Street, Staten Island, NY 10301",2129657000,Low,Medical,Women and Reproductive,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-74.0772782,40.6421085
30,Bellevue,"462 First Avenue, New York, NY 10016",2125621000,Low,Medical,Sliding Scale Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9750139,40.7390642
31,Metropolitan Hospital Center,"1901 First Avenue, New York, NY 10029",2124236262,Low,Medical,Sliding Scale Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.94502899999999,40.7852328
32,Sydenham Family Health Center,"264 West 118th Street, New York, NY 10027",2129326500,Low,Medical,Sliding Scale Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9536622,40.8052028
33,Jacobi Medical Center,"1400 Pelham Parkway South, Bronx, NY 10461",7189185700,Low,Medical,Sliding Scale Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.84637239999999,40.8547222
34,Elmhurst Hospital Center,"79-01 Broadway, Queens, NY 11373",7183344000,Low,Medical,Sliding Scale Clinic,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.88627029999999,40.7444907
35,NYU Dental School,"345 East 24th Street, New York, NY 10010",2129989872,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9782152,40.7379477
36,Family Health Center of Harlem,"1824 Madison Avenue, New York, NY 10035",2124234400,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9437432,40.8018633
37,Heritage Healthcare Center,"1727 Amsterdam Avenue, 4th Floor, New York, NY 10031",2128620054,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9469577,40.8254508
38,Columbia University Dental Center,"622 West 168th Street, New York, NY 10032",2123056100,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.94067,40.841311
39,Walton Family Health Center,"1894 Walton Avenue, Bronx, NY 10453",7185832700,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.9090083,40.849691
40,Stevenson Family Health Center,"731 White Plains Road, Bronx, NY 10473",7185898775,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.8581707,40.8202133
41,NYU Lutheran Department of Dental Medicine,"150 55th Street, Brooklyn, NY 11220",7186306875,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-74.02111529999999,40.6466416
42,NYC College of Technology Dental Hygiene Clinic,"300 Jay Street, 2nd floor, Brooklyn, NY 11201",7182605074,Low,Medical,Dental,http://nycfreeclinic.med.nyu.edu/information-for-patients/health-resources/list-by-service,-73.98756809999999,40.6954929
43,Morrisania Health Center,"1309 Fulton Avenue 3rd Floor, ",3478541984,Free,Insurance,Insurance,https://www1.nyc.gov/site/doh/health/health-topics/health-insurance.page,-73.9033157,40.832732
44,Bushwick Health Center,"50 Sheffield Avenue Brooklyn, NY11207",7183452273,Free,Insurance,Insurance,https://www1.nyc.gov/site/doh/health/health-topics/health-insurance.page,-73.89859609999999,40.6762814
45,Riverside Health Center,"160 West 100th Street, 1st Floor",6463640711,Free,Insurance,Insurance,https://www1.nyc.gov/site/doh/health/health-topics/health-insurance.page,-73.9681724,40.7959294
46,Corona Health Center ,34-33 Junction Boulevard 1st Floor ,8773648191,Free,Insurance,Insurance,https://www1.nyc.gov/site/doh/health/health-topics/health-insurance.page,-83.0002444,39.966416
47,National Institute for the Psychotherapies,"250 West 57th St.",2125821566,Low,Mental,Counseling,https://www.ccny.cuny.edu/accessability/mental-health-resources,N/A,N/A
48,Dean Hope Center for Educational and Psychological Services,"Columbia Teacher’s College, Thorndike Hall 6th Floor, 525 West 120th St, New York, NY 10027",2126783262,Low,Mental,Counseling,http://www.tc.columbia.edu/ceps/index.asp,N/A,N/A
49,Emma L. Bowen Community Service Center,"1727 Amsterdam Avenue, New York, NY 10031",2126949200,Low,Mental,Counseling,N/A,N/A
